Order Date,Order ID,Customer ID,Product,Category,Region,Channel,Units,Revenue,Generation Persona
2024-01-17,ORD-101995,CUS-0203,Everyday Set,Core,Hong Kong,Website,2,216.85,lapsed_high_value
2024-01-23,ORD-102538,CUS-0246,Everyday Set,Core,International,Mobile App,1,100.13,lapsed_high_value
2024-01-25,ORD-102067,CUS-0209,Refill Pack,Consumables,Hong Kong,Mobile App,4,205.91,lapsed_high_value
2024-01-26,ORD-102192,CUS-0219,Premium Set,Premium,New Territories,Website,1,251.47,lapsed_high_value
2024-01-28,ORD-102473,CUS-0241,Refill Pack,Consumables,New Territories,Mobile App,2,74.17,lapsed_high_value
2024-01-29,ORD-102621,CUS-0263,Starter Kit,Starter,Hong Kong,Website,2,43.86,inactive_low_value
2024-02-02,ORD-102581,CUS-0250,Everyday Set,Core,New Territories,Website,1,104.5,lapsed_high_value
2024-02-08,ORD-102539,CUS-0246,Premium Set,Premium,International,Marketplace,2,422.14,lapsed_high_value
2024-02-09,ORD-102022,CUS-0205,Everyday Set,Core,International,Website,1,149.01,lapsed_high_value
2024-02-12,ORD-102023,CUS-0205,Refill Pack,Consumables,International,Marketplace,1,49.05,lapsed_high_value
2024-02-13,ORD-102390,CUS-0234,Refill Pack,Consumables,New Territories,Marketplace,1,42.48,lapsed_high_value
2024-02-14,ORD-101996,CUS-0203,Everyday Set,Core,Hong Kong,Marketplace,1,89.61,lapsed_high_value
2024-02-17,ORD-102413,CUS-0236,Starter Kit,Starter,New Territories,Marketplace,2,126.88,lapsed_high_value
2024-02-19,ORD-102414,CUS-0236,Starter Kit,Starter,New Territories,Marketplace,1,66.77,lapsed_high_value
2024-02-20,ORD-102053,CUS-0208,Refill Pack,Consumables,New Territories,Mobile App,1,39.11,lapsed_high_value
2024-02-21,ORD-102322,CUS-0229,Everyday Set,Core,New Territories,Website,2,266.98,lapsed_high_value
2024-02-23,ORD-102055,CUS-0208,Refill Pack,Consumables,New Territories,Marketplace,4,203.34,lapsed_high_value
2024-02-25,ORD-102193,CUS-0219,Everyday Set,Core,New Territories,Marketplace,1,127.23,lapsed_high_value
2024-02-27,RET-102054,CUS-0208,Refill Pack,Consumables,New Territories,Return,-1,-39.11,lapsed_high_value
2024-02-28,ORD-102194,CUS-0219,Starter Kit,Starter,New Territories,Website,1,67.14,lapsed_high_value
2024-02-29,ORD-102241,CUS-0223,Premium Set,Premium,New Territories,Marketplace,1,222.92,lapsed_high_value
2024-02-29,ORD-102415,CUS-0236,Starter Kit,Starter,New Territories,Marketplace,3,198.02,lapsed_high_value
2024-02-29,ORD-102474,CUS-0241,Refill Pack,Consumables,New Territories,Marketplace,3,122.29,lapsed_high_value
2024-03-01,ORD-102323,CUS-0229,Starter Kit,Starter,New Territories,Marketplace,3,217.87,lapsed_high_value
2024-03-02,ORD-101997,CUS-0203,Starter Kit,Starter,Hong Kong,Marketplace,3,123.38,lapsed_high_value
2024-03-02,ORD-102097,CUS-0212,Everyday Set,Core,Kowloon,Website,1,134.18,lapsed_high_value
2024-03-03,ORD-102305,CUS-0228,Premium Set,Premium,New Territories,Marketplace,3,878.7,lapsed_high_value
2024-03-03,ORD-102350,CUS-0231,Starter Kit,Starter,New Territories,Marketplace,3,205.87,lapsed_high_value
2024-03-07,ORD-102285,CUS-0226,Refill Pack,Consumables,International,Mobile App,3,156.47,lapsed_high_value
2024-03-07,ORD-102550,CUS-0247,Everyday Set,Core,New Territories,Website,1,110.39,lapsed_high_value
2024-03-09,ORD-102195,CUS-0219,Starter Kit,Starter,New Territories,Mobile App,2,121.53,lapsed_high_value
2024-03-09,ORD-102449,CUS-0239,Everyday Set,Core,Hong Kong,Marketplace,2,335.41,lapsed_high_value
2024-03-09,ORD-102475,CUS-0241,Premium Set,Premium,New Territories,Website,1,207.67,lapsed_high_value
2024-03-10,ORD-102056,CUS-0208,Starter Kit,Starter,New Territories,Website,2,119.06,lapsed_high_value
2024-03-10,ORD-102098,CUS-0212,Refill Pack,Consumables,Kowloon,Website,1,49.08,lapsed_high_value
2024-03-11,ORD-102351,CUS-0231,Refill Pack,Consumables,New Territories,Website,2,91.36,lapsed_high_value
2024-03-11,ORD-102572,CUS-0249,Everyday Set,Core,Hong Kong,Mobile App,4,392.49,lapsed_high_value
2024-03-12,ORD-102306,CUS-0228,Premium Set,Premium,New Territories,Marketplace,4,1073.56,lapsed_high_value
2024-03-13,ORD-102540,CUS-0246,Starter Kit,Starter,International,Marketplace,3,174.17,lapsed_high_value
2024-03-15,ORD-101974,CUS-0201,Starter Kit,Starter,Kowloon,Mobile App,3,227.12,lapsed_high_value
2024-03-15,ORD-102450,CUS-0239,Everyday Set,Core,Hong Kong,Mobile App,2,319.04,lapsed_high_value
2024-03-16,ORD-102076,CUS-0210,Refill Pack,Consumables,Kowloon,Mobile App,2,98.67,lapsed_high_value
2024-03-17,ORD-101975,CUS-0201,Starter Kit,Starter,Kowloon,Mobile App,1,68.81,lapsed_high_value
2024-03-17,ORD-102242,CUS-0223,Premium Set,Premium,New Territories,Mobile App,3,687.78,lapsed_high_value
2024-03-18,ORD-102045,CUS-0207,Starter Kit,Starter,New Territories,Website,4,208.1,lapsed_high_value
2024-03-18,ORD-102307,CUS-0228,Everyday Set,Core,New Territories,Marketplace,4,570.27,lapsed_high_value
2024-03-18,ORD-102404,CUS-0235,Everyday Set,Core,New Territories,Website,2,264.55,lapsed_high_value
2024-03-19,ORD-102333,CUS-0230,Refill Pack,Consumables,Kowloon,Website,2,96.54,lapsed_high_value
2024-03-20,ORD-101998,CUS-0203,Starter Kit,Starter,Hong Kong,Website,3,153.54,lapsed_high_value
2024-03-20,ORD-102308,CUS-0228,Premium Set,Premium,New Territories,Website,2,530.27,lapsed_high_value
2024-03-21,ORD-101976,CUS-0201,Everyday Set,Core,Kowloon,Website,4,617.33,lapsed_high_value
2024-03-21,ORD-102295,CUS-0227,Refill Pack,Consumables,Kowloon,Marketplace,4,195.46,lapsed_high_value
2024-03-22,ORD-102088,CUS-0211,Everyday Set,Core,New Territories,Marketplace,1,126.65,lapsed_high_value
2024-03-24,ORD-102114,CUS-0213,Everyday Set,Core,International,Mobile App,4,411.73,lapsed_high_value
2024-03-25,ORD-102068,CUS-0209,Starter Kit,Starter,Hong Kong,Website,3,277.67,lapsed_high_value
2024-03-25,ORD-102257,CUS-0224,Starter Kit,Starter,Hong Kong,Website,4,305.61,lapsed_high_value
2024-03-26,ORD-102069,CUS-0209,Starter Kit,Starter,Hong Kong,Marketplace,4,370.86,lapsed_high_value
2024-03-27,ORD-102229,CUS-0222,Starter Kit,Starter,Hong Kong,Website,4,211.11,lapsed_high_value
2024-03-27,ORD-102258,CUS-0224,Premium Set,Premium,Hong Kong,Website,3,964.03,lapsed_high_value
2024-03-27,ORD-102582,CUS-0250,Everyday Set,Core,New Territories,Website,2,256.9,lapsed_high_value
2024-03-28,ORD-102243,CUS-0223,Everyday Set,Core,New Territories,Marketplace,2,221.08,lapsed_high_value
2024-03-29,ORD-102617,CUS-0262,Refill Pack,Consumables,Hong Kong,Website,3,45.4,inactive_low_value
2024-03-30,ORD-102165,CUS-0217,Starter Kit,Starter,Kowloon,Mobile App,1,78.43,lapsed_high_value
2024-03-30,ORD-102484,CUS-0242,Premium Set,Premium,International,Website,1,278.56,lapsed_high_value
2024-03-31,ORD-102309,CUS-0228,Starter Kit,Starter,New Territories,Website,4,345.94,lapsed_high_value
2024-03-31,ORD-102405,CUS-0235,Starter Kit,Starter,New Territories,Marketplace,3,210.79,lapsed_high_value
2024-04-01,ORD-102259,CUS-0224,Starter Kit,Starter,Hong Kong,Marketplace,3,264.3,lapsed_high_value
2024-04-01,ORD-102561,CUS-0248,Starter Kit,Starter,Hong Kong,Mobile App,3,223.27,lapsed_high_value
2024-04-02,ORD-102153,CUS-0216,Starter Kit,Starter,Kowloon,Website,2,128.02,lapsed_high_value
2024-04-03,ORD-101985,CUS-0202,Starter Kit,Starter,Hong Kong,Marketplace,2,124.85,lapsed_high_value
2024-04-04,ORD-102070,CUS-0209,Starter Kit,Starter,Hong Kong,Marketplace,3,316.81,lapsed_high_value
2024-04-04,ORD-102494,CUS-0243,Refill Pack,Consumables,Kowloon,Website,4,226.31,lapsed_high_value
2024-04-04,ORD-102644,CUS-0273,Everyday Set,Core,Kowloon,Marketplace,4,267.33,inactive_low_value
2024-04-06,ORD-102024,CUS-0205,Everyday Set,Core,International,Mobile App,3,461.12,lapsed_high_value
2024-04-07,ORD-102099,CUS-0212,Starter Kit,Starter,Kowloon,Website,4,243.35,lapsed_high_value
2024-04-07,ORD-102632,CUS-0268,Starter Kit,Starter,New Territories,Website,1,37.57,inactive_low_value
2024-04-08,ORD-102089,CUS-0211,Refill Pack,Consumables,New Territories,Website,4,148.07,lapsed_high_value
2024-04-08,ORD-102610,CUS-0260,Everyday Set,Core,Hong Kong,Marketplace,2,161.47,inactive_low_value
2024-04-08,ORD-102655,CUS-0279,Refill Pack,Consumables,Kowloon,Website,1,19.87,inactive_low_value
2024-04-09,ORD-102090,CUS-0211,Refill Pack,Consumables,New Territories,Website,4,184.41,lapsed_high_value
2024-04-09,ORD-102115,CUS-0213,Everyday Set,Core,International,Mobile App,1,111.88,lapsed_high_value
2024-04-09,ORD-102116,CUS-0213,Starter Kit,Starter,International,Marketplace,1,63.2,lapsed_high_value
2024-04-11,ORD-102077,CUS-0210,Premium Set,Premium,Kowloon,Website,1,273.29,lapsed_high_value
2024-04-11,ORD-102436,CUS-0238,Starter Kit,Starter,New Territories,Marketplace,3,190.54,lapsed_high_value
2024-04-14,ORD-102091,CUS-0211,Refill Pack,Consumables,New Territories,Marketplace,2,81.7,lapsed_high_value
2024-04-15,ORD-102008,CUS-0204,Starter Kit,Starter,Kowloon,Marketplace,3,171.97,lapsed_high_value
2024-04-15,ORD-102180,CUS-0218,Everyday Set,Core,Hong Kong,Marketplace,3,453.03,lapsed_high_value
2024-04-16,ORD-102437,CUS-0238,Everyday Set,Core,New Territories,Website,1,111.02,lapsed_high_value
2024-04-17,ORD-102476,CUS-0241,Starter Kit,Starter,New Territories,Mobile App,2,101.16,lapsed_high_value
2024-04-18,ORD-102562,CUS-0248,Everyday Set,Core,Hong Kong,Marketplace,3,481.76,lapsed_high_value
2024-04-18,ORD-102656,CUS-0279,Refill Pack,Consumables,Kowloon,Mobile App,4,101.58,inactive_low_value
2024-04-19,ORD-102520,CUS-0245,Everyday Set,Core,International,Website,2,339.66,lapsed_high_value
2024-04-20,ORD-102573,CUS-0249,Everyday Set,Core,Hong Kong,Website,4,456.16,lapsed_high_value
2024-04-22,ORD-101999,CUS-0203,Everyday Set,Core,Hong Kong,Website,2,193.54,lapsed_high_value
2024-04-22,ORD-102286,CUS-0226,Everyday Set,Core,International,Website,3,473.46,lapsed_high_value
2024-04-22,RET-102009,CUS-0204,Starter Kit,Starter,Kowloon,Return,-1,-57.32,lapsed_high_value
2024-04-23,ORD-102010,CUS-0204,Premium Set,Premium,Kowloon,Website,2,529.57,lapsed_high_value
2024-04-23,ORD-102046,CUS-0207,Refill Pack,Consumables,New Territories,Marketplace,2,78.8,lapsed_high_value
2024-04-23,ORD-102551,CUS-0247,Premium Set,Premium,New Territories,Website,1,253.36,lapsed_high_value
2024-04-23,ORD-102685,CUS-0295,Refill Pack,Consumables,Hong Kong,Marketplace,3,56.5,inactive_low_value
2024-04-24,ORD-102477,CUS-0241,Premium Set,Premium,New Territories,Website,3,647.64,lapsed_high_value
2024-04-25,RET-102563,CUS-0248,Everyday Set,Core,Hong Kong,Return,-1,-160.59,lapsed_high_value
2024-04-28,ORD-102272,CUS-0225,Starter Kit,Starter,Hong Kong,Website,1,67.94,lapsed_high_value
2024-04-29,ORD-102454,CUS-0240,Everyday Set,Core,Kowloon,Marketplace,2,306.04,lapsed_high_value
2024-04-29,ORD-102552,CUS-0247,Premium Set,Premium,New Territories,Website,1,238.41,lapsed_high_value
2024-04-30,ORD-101977,CUS-0201,Refill Pack,Consumables,Kowloon,Website,3,140.27,lapsed_high_value
2024-04-30,ORD-102196,CUS-0219,Premium Set,Premium,New Territories,Marketplace,4,1016.42,lapsed_high_value
2024-04-30,ORD-102406,CUS-0235,Starter Kit,Starter,New Territories,Marketplace,4,250.33,lapsed_high_value
2024-05-01,ORD-102260,CUS-0224,Starter Kit,Starter,Hong Kong,Marketplace,2,158.42,lapsed_high_value
2024-05-01,ORD-102324,CUS-0229,Everyday Set,Core,New Territories,Mobile App,2,293.61,lapsed_high_value
2024-05-02,ORD-102678,CUS-0291,Refill Pack,Consumables,International,Website,2,29.22,inactive_low_value
2024-05-04,ORD-102521,CUS-0245,Everyday Set,Core,International,Marketplace,1,183.14,lapsed_high_value
2024-05-06,ORD-102455,CUS-0240,Starter Kit,Starter,Kowloon,Marketplace,1,68.21,lapsed_high_value
2024-05-06,ORD-102635,CUS-0270,Premium Set,Premium,New Territories,Mobile App,3,297.11,inactive_low_value
2024-05-07,ORD-101986,CUS-0202,Refill Pack,Consumables,Hong Kong,Website,3,121.86,lapsed_high_value
2024-05-07,ORD-102181,CUS-0218,Refill Pack,Consumables,Hong Kong,Website,4,210.32,lapsed_high_value
2024-05-07,ORD-102197,CUS-0219,Everyday Set,Core,New Territories,Marketplace,2,250.91,lapsed_high_value
2024-05-07,ORD-102206,CUS-0220,Everyday Set,Core,Kowloon,Website,4,579.64,lapsed_high_value
2024-05-07,ORD-102261,CUS-0224,Everyday Set,Core,Hong Kong,Website,4,630.84,lapsed_high_value
2024-05-07,ORD-102650,CUS-0276,Everyday Set,Core,Hong Kong,Website,3,206.51,inactive_low_value
2024-05-08,ORD-102287,CUS-0226,Starter Kit,Starter,International,Mobile App,4,301.4,lapsed_high_value
2024-05-09,ORD-102478,CUS-0241,Refill Pack,Consumables,New Territories,Marketplace,3,112.21,lapsed_high_value
2024-05-11,ORD-102564,CUS-0248,Everyday Set,Core,Hong Kong,Mobile App,1,176.76,lapsed_high_value
2024-05-11,ORD-102645,CUS-0273,Everyday Set,Core,Kowloon,Website,1,65.0,inactive_low_value
2024-05-13,ORD-102671,CUS-0288,Premium Set,Premium,New Territories,Website,1,150.72,inactive_low_value
2024-05-14,ORD-102244,CUS-0223,Everyday Set,Core,New Territories,Website,3,332.38,lapsed_high_value
2024-05-14,ORD-102363,CUS-0232,Everyday Set,Core,Hong Kong,Mobile App,1,133.46,lapsed_high_value
2024-05-14,RET-102182,CUS-0218,Refill Pack,Consumables,Hong Kong,Return,-1,-52.58,lapsed_high_value
2024-05-15,ORD-102611,CUS-0260,Refill Pack,Consumables,Hong Kong,Website,1,28.98,inactive_low_value
2024-05-15,ORD-102636,CUS-0270,Everyday Set,Core,New Territories,Website,1,52.08,inactive_low_value
2024-05-16,ORD-102025,CUS-0205,Starter Kit,Starter,International,Mobile App,4,280.38,lapsed_high_value
2024-05-16,ORD-102495,CUS-0243,Premium Set,Premium,Kowloon,Marketplace,1,278.02,lapsed_high_value
2024-05-16,ORD-102595,CUS-0251,Premium Set,Premium,Kowloon,Website,3,244.44,inactive_low_value
2024-05-17,ORD-102565,CUS-0248,Everyday Set,Core,Hong Kong,Website,1,181.9,lapsed_high_value
2024-05-18,ORD-102681,CUS-0292,Starter Kit,Starter,New Territories,Website,3,99.62,inactive_low_value
2024-05-19,ORD-101987,CUS-0202,Refill Pack,Consumables,Hong Kong,Marketplace,4,182.65,lapsed_high_value
2024-05-19,ORD-102667,CUS-0285,Refill Pack,Consumables,Hong Kong,Website,1,21.98,inactive_low_value
2024-05-20,ORD-102262,CUS-0224,Everyday Set,Core,Hong Kong,Website,2,319.64,lapsed_high_value
2024-05-22,ORD-102032,CUS-0206,Refill Pack,Consumables,New Territories,Mobile App,2,77.19,lapsed_high_value
2024-05-23,ORD-102198,CUS-0219,Starter Kit,Starter,New Territories,Marketplace,2,124.81,lapsed_high_value
2024-05-23,ORD-102222,CUS-0221,Everyday Set,Core,New Territories,Website,1,134.95,lapsed_high_value
2024-05-23,RET-102026,CUS-0205,Starter Kit,Starter,International,Return,-1,-70.09,lapsed_high_value
2024-05-23,RET-102496,CUS-0243,Premium Set,Premium,Kowloon,Return,-1,-278.02,lapsed_high_value
2024-05-24,ORD-102057,CUS-0208,Everyday Set,Core,New Territories,Mobile App,2,257.38,lapsed_high_value
2024-05-24,ORD-102166,CUS-0217,Starter Kit,Starter,Kowloon,Marketplace,3,189.41,lapsed_high_value
2024-05-24,ORD-102391,CUS-0234,Refill Pack,Consumables,New Territories,Marketplace,4,157.43,lapsed_high_value
2024-05-24,ORD-102583,CUS-0250,Everyday Set,Core,New Territories,Mobile App,2,246.36,lapsed_high_value
2024-05-25,ORD-102407,CUS-0235,Starter Kit,Starter,New Territories,Website,3,196.52,lapsed_high_value
2024-05-26,ORD-102606,CUS-0258,Everyday Set,Core,Kowloon,Mobile App,3,217.81,inactive_low_value
2024-05-27,ORD-102485,CUS-0242,Premium Set,Premium,International,Website,2,673.97,lapsed_high_value
2024-05-28,ORD-102273,CUS-0225,Premium Set,Premium,Hong Kong,Mobile App,2,492.13,lapsed_high_value
2024-05-28,ORD-102679,CUS-0291,Refill Pack,Consumables,International,Marketplace,1,16.5,inactive_low_value
2024-05-29,ORD-102078,CUS-0210,Starter Kit,Starter,Kowloon,Mobile App,2,177.77,lapsed_high_value
2024-05-30,ORD-102100,CUS-0212,Everyday Set,Core,Kowloon,Website,3,487.85,lapsed_high_value
2024-05-31,ORD-102310,CUS-0228,Starter Kit,Starter,New Territories,Mobile App,3,227.12,lapsed_high_value
2024-05-31,ORD-102377,CUS-0233,Refill Pack,Consumables,New Territories,Website,1,55.76,lapsed_high_value
2024-05-31,ORD-102598,CUS-0253,Premium Set,Premium,Hong Kong,Website,1,84.42,inactive_low_value
2024-05-31,RET-102167,CUS-0217,Starter Kit,Starter,Kowloon,Return,-1,-63.14,lapsed_high_value
2024-06-01,ORD-102615,CUS-0261,Everyday Set,Core,International,Mobile App,2,95.05,inactive_low_value
2024-06-04,ORD-102574,CUS-0249,Starter Kit,Starter,Hong Kong,Website,3,193.35,lapsed_high_value
2024-06-06,ORD-102622,CUS-0263,Premium Set,Premium,Hong Kong,Marketplace,1,89.42,inactive_low_value
2024-06-07,ORD-102058,CUS-0208,Refill Pack,Consumables,New Territories,Marketplace,4,183.33,lapsed_high_value
2024-06-09,ORD-102207,CUS-0220,Premium Set,Premium,Kowloon,Website,1,331.22,lapsed_high_value
2024-06-09,ORD-102510,CUS-0244,Starter Kit,Starter,Kowloon,Website,1,75.24,lapsed_high_value
2024-06-10,ORD-102208,CUS-0220,Everyday Set,Core,Kowloon,Website,3,430.42,lapsed_high_value
2024-06-10,ORD-102522,CUS-0245,Refill Pack,Consumables,International,Website,2,108.53,lapsed_high_value
2024-06-11,ORD-102325,CUS-0229,Refill Pack,Consumables,New Territories,Marketplace,3,135.3,lapsed_high_value
2024-06-11,ORD-102326,CUS-0229,Premium Set,Premium,New Territories,Website,3,738.07,lapsed_high_value
2024-06-11,ORD-102584,CUS-0250,Everyday Set,Core,New Territories,Website,2,278.67,lapsed_high_value
2024-06-11,ORD-102633,CUS-0268,Starter Kit,Starter,New Territories,Website,3,117.38,inactive_low_value
2024-06-11,ORD-102686,CUS-0295,Starter Kit,Starter,Hong Kong,Website,4,133.11,inactive_low_value
2024-06-12,ORD-102168,CUS-0217,Starter Kit,Starter,Kowloon,Marketplace,2,143.67,lapsed_high_value
2024-06-12,ORD-102209,CUS-0220,Starter Kit,Starter,Kowloon,Website,1,74.97,lapsed_high_value
2024-06-13,ORD-102553,CUS-0247,Everyday Set,Core,New Territories,Website,4,534.87,lapsed_high_value
2024-06-14,ORD-102169,CUS-0217,Everyday Set,Core,Kowloon,Marketplace,2,294.64,lapsed_high_value
2024-06-14,ORD-102352,CUS-0231,Everyday Set,Core,New Territories,Mobile App,2,195.45,lapsed_high_value
2024-06-15,ORD-102000,CUS-0203,Starter Kit,Starter,Hong Kong,Website,1,66.06,lapsed_high_value
2024-06-15,ORD-102033,CUS-0206,Premium Set,Premium,New Territories,Website,2,505.26,lapsed_high_value
2024-06-15,ORD-102311,CUS-0228,Premium Set,Premium,New Territories,Website,3,857.8,lapsed_high_value
2024-06-16,ORD-102047,CUS-0207,Everyday Set,Core,New Territories,Website,3,328.6,lapsed_high_value
2024-06-16,ORD-102138,CUS-0215,Everyday Set,Core,Hong Kong,Mobile App,1,129.98,lapsed_high_value
2024-06-16,ORD-102456,CUS-0240,Premium Set,Premium,Kowloon,Website,2,581.42,lapsed_high_value
2024-06-18,ORD-102497,CUS-0243,Refill Pack,Consumables,Kowloon,Website,2,100.07,lapsed_high_value
2024-06-19,ORD-102034,CUS-0206,Refill Pack,Consumables,New Territories,Marketplace,3,130.68,lapsed_high_value
2024-06-19,ORD-102637,CUS-0270,Starter Kit,Starter,New Territories,Website,4,117.34,inactive_low_value
2024-06-21,ORD-102117,CUS-0213,Refill Pack,Consumables,International,Mobile App,4,153.93,lapsed_high_value
2024-06-21,ORD-102353,CUS-0231,Starter Kit,Starter,New Territories,Website,2,113.66,lapsed_high_value
2024-06-21,ORD-102457,CUS-0240,Starter Kit,Starter,Kowloon,Marketplace,4,299.41,lapsed_high_value
2024-06-22,ORD-102048,CUS-0207,Starter Kit,Starter,New Territories,Mobile App,3,161.13,lapsed_high_value
2024-06-22,ORD-102498,CUS-0243,Everyday Set,Core,Kowloon,Website,4,577.13,lapsed_high_value
2024-06-22,ORD-102511,CUS-0244,Starter Kit,Starter,Kowloon,Marketplace,4,311.38,lapsed_high_value
2024-06-22,RET-102312,CUS-0228,Premium Set,Premium,New Territories,Return,-1,-285.93,lapsed_high_value
2024-06-27,ORD-102139,CUS-0215,Everyday Set,Core,Hong Kong,Marketplace,4,522.02,lapsed_high_value
2024-06-27,ORD-102566,CUS-0248,Starter Kit,Starter,Hong Kong,Marketplace,3,264.89,lapsed_high_value
2024-06-27,ORD-102658,CUS-0280,Starter Kit,Starter,New Territories,Website,1,39.98,inactive_low_value
2024-06-28,ORD-102101,CUS-0212,Everyday Set,Core,Kowloon,Mobile App,4,516.69,lapsed_high_value
2024-06-28,ORD-102616,CUS-0261,Everyday Set,Core,International,Website,3,154.8,inactive_low_value
2024-06-29,ORD-102245,CUS-0223,Everyday Set,Core,New Territories,Website,4,441.66,lapsed_high_value
2024-06-29,ORD-102438,CUS-0238,Refill Pack,Consumables,New Territories,Website,1,34.91,lapsed_high_value
2024-06-30,ORD-102458,CUS-0240,Premium Set,Premium,Kowloon,Mobile App,2,691.78,lapsed_high_value
2024-07-01,ORD-102499,CUS-0243,Refill Pack,Consumables,Kowloon,Website,2,96.9,lapsed_high_value
2024-07-01,ORD-102669,CUS-0286,Starter Kit,Starter,Kowloon,Website,4,149.11,inactive_low_value
2024-07-02,ORD-102575,CUS-0249,Everyday Set,Core,Hong Kong,Mobile App,3,331.85,lapsed_high_value
2024-07-03,ORD-102140,CUS-0215,Refill Pack,Consumables,Hong Kong,Website,3,149.48,lapsed_high_value
2024-07-04,ORD-102118,CUS-0213,Everyday Set,Core,International,Website,4,546.66,lapsed_high_value
2024-07-04,ORD-102663,CUS-0282,Starter Kit,Starter,Hong Kong,Website,1,24.61,inactive_low_value
2024-07-05,ORD-102154,CUS-0216,Everyday Set,Core,Kowloon,Marketplace,2,224.72,lapsed_high_value
2024-07-05,ORD-102223,CUS-0221,Everyday Set,Core,New Territories,Website,4,400.14,lapsed_high_value
2024-07-05,ORD-102327,CUS-0229,Everyday Set,Core,New Territories,Marketplace,1,115.9,lapsed_high_value
2024-07-05,RET-102102,CUS-0212,Everyday Set,Core,Kowloon,Return,-1,-129.17,lapsed_high_value
2024-07-06,ORD-102313,CUS-0228,Starter Kit,Starter,New Territories,Website,4,372.55,lapsed_high_value
2024-07-08,ORD-101988,CUS-0202,Premium Set,Premium,Hong Kong,Website,2,521.74,lapsed_high_value
2024-07-08,ORD-102035,CUS-0206,Everyday Set,Core,New Territories,Mobile App,4,442.51,lapsed_high_value
2024-07-09,ORD-102170,CUS-0217,Premium Set,Premium,Kowloon,Website,3,834.98,lapsed_high_value
2024-07-09,ORD-102459,CUS-0240,Starter Kit,Starter,Kowloon,Marketplace,3,266.76,lapsed_high_value
2024-07-09,ORD-102523,CUS-0245,Premium Set,Premium,International,Mobile App,4,1348.18,lapsed_high_value
2024-07-09,ORD-102585,CUS-0250,Starter Kit,Starter,New Territories,Website,4,274.04,lapsed_high_value
2024-07-09,ORD-102597,CUS-0252,Premium Set,Premium,Hong Kong,Marketplace,2,244.72,inactive_low_value
2024-07-11,ORD-102129,CUS-0214,Premium Set,Premium,Hong Kong,Mobile App,3,1055.31,lapsed_high_value
2024-07-11,ORD-102586,CUS-0250,Starter Kit,Starter,New Territories,Marketplace,2,148.44,lapsed_high_value
2024-07-12,ORD-102092,CUS-0211,Everyday Set,Core,New Territories,Website,4,537.46,lapsed_high_value
2024-07-13,ORD-102210,CUS-0220,Starter Kit,Starter,Kowloon,Website,2,147.47,lapsed_high_value
2024-07-13,ORD-102263,CUS-0224,Premium Set,Premium,Hong Kong,Mobile App,2,607.38,lapsed_high_value
